0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,fact_sale,pred_trend
27.833,15.088,0.542,1.617,1.138,28.0,0.973,4.0,24.0,1.979,0.205,0.467,0.636,6.0,0.853,-0.866,0.5,25.0,51.0,1.0
26.75,14.26,0.533,0.636,-0.684,-47.0,-1.326,-6.0,-2.0,1.038,0.063,-1.12,0.545,6.0,0.853,-0.5,0.866,32.0,45.0,2.0
26.75,14.26,0.533,2.393,2.612,23.0,0.445,44.0,59.0,1.857,0.202,2.123,0.636,6.0,0.853,0.0,1.0,17.0,17.0,2.0
24.333,9.357,0.385,1.685,1.781,18.0,0.578,20.0,21.0,-0.154,0.003,1.875,0.545,7.0,0.857,0.5,0.866,35.0,64.0,2.0
21.833,8.542,0.391,1.053,0.137,3.0,0.14,4.0,-11.0,-0.399,0.026,0.398,0.545,8.0,0.857,0.866,0.5,11.0,41.0,1.0
45.5,10.194,0.224,0.989,-0.049,-2.0,-0.043,-26.0,0.0,1.133,0.147,-0.715,0.545,9.0,0.38,-0.866,-0.5,34.0,45.0,1.0
45.583,10.194,0.224,1.031,0.139,3.0,0.066,11.0,-7.0,1.136,0.148,-0.514,0.545,9.0,0.38,-1.0,0.0,46.0,45.0,2.0
46.0,10.344,0.225,0.957,-0.193,-27.0,-0.478,-9.0,13.0,0.825,0.076,-0.658,0.455,8.0,0.404,-0.866,0.5,52.0,47.0,2.0
46.75,10.497,0.225,1.519,2.31,35.0,0.679,26.0,25.0,0.647,0.045,2.017,0.455,7.0,0.415,-0.5,0.866,53.0,44.0,1.0
44.833,7.592,0.169,0.803,-1.164,-17.0,-0.387,-18.0,-4.0,-0.503,0.052,-0.821,0.455,7.0,0.415,0.0,1.0,48.0,71.0,1.0
45.0,7.416,0.165,1.178,1.079,8.0,0.164,22.0,19.0,0.161,0.006,0.962,0.545,6.0,0.415,0.5,0.866,38.0,36.0,1.0
42.5,9.152,0.215,1.059,0.273,-9.0,-0.182,-1.0,-1.0,0.643,0.059,-0.117,0.545,5.0,0.415,0.866,0.5,23.0,53.0,1.0
47.583,12.045,0.253,1.135,0.533,18.0,0.405,2.0,-15.0,0.983,0.079,0.088,0.455,6.0,0.478,-0.866,-0.5,19.0,47.0,1.0
46.25,12.146,0.263,0.778,-0.844,-16.0,-0.368,-19.0,-17.0,1.059,0.091,-1.388,0.364,6.0,0.5,-1.0,0.0,38.0,54.0,1.0
45.25,13.38,0.296,1.149,0.504,0.0,0.0,15.0,7.0,2.381,0.377,-0.601,0.455,7.0,0.5,-0.866,0.5,24.0,36.0,2.0
